TWEET,LABEL
اخبار الرياضة مباشر - مباراة مصر وغانا مباشر متابعة كتابية اليوم الأحد 12-11-2017 فى تصفيات كأس العالم https://t.co/46ippyhHhf https://t.co/MeaOdsof0x,2
الوطن   عبدالمنعم ابراهيم..  فتافيت سكر  السينما المصريه,0
#كلمه_بتتقال_في_البيت_كل_يوم ولدي جيعان ؟! أمي الله يحفظها :),2
ندوة د علاء الأسواني بساقية الصاوي >>> الخميس القادم 2/8/2012 >>> الساعة التاسعة مساء بقاعة النهر >>>,2
باين كدا الليلة دى هتكون ليلة الم ودموع . ,1
المحامى خالد على يعلن ترشحه لخوض انتخابات رئاسة الجمهورية 2018#جريدة_مصر_نيوز#راديو_مصر_اف_ام https://t.co/TQFkZh3tmV,2
" في مقوله كده لو معموله قصد عشان تبقي معبره عن ثورة يناير مش هتطلع بالظبط كده. ""الثائر لأجل مجتمع جاهل، شخص أضرم النيران بجسده، لينير الطريق لرجل أعمى""",1
الشباب فى سجون السيسييموتون بسبب الإهمال الطبىوهناك من يموت بالصرعنتيجة التعذيب بالكهرباءأويعدم ظلما#منتدى_شباب_العالم #WeNeedToTalk https://t.co/19BZw9AJdE,1
الاوليمبياد فيها جولف,2
_ _ طلع هزار الحمد لله :),2
"""وبعدين ميريام فارس حلوه اوڤر كدا ليه😍""",0
تهنئة من القلب لكل مصرى ومصرية بإقرار حق المصريين فى الخارج فى التصويت كلنا مصريون,0
احلى حاجة يوم الامتحان كوباية ليمون سخن قبل ما تدخل اللجنة  . ,0
انا اسف . هحاول انه ميتكررش تاني .,0
من جنازة شهداء المنيل الذين قتلهم الأخوان المجرمين الارهابيين أمـس,1
ممنون عزيزى . ,0
عاملين ايه ياحلوين واحشني من الصبح بس كان عندي امتحان بقي,0
3 يوليو انجبت 3 توائم طغمة الانقلاب العسكرى قناة العربية الصهيونية اعلام العار فى مصر,2
"رسمياً ""#الفيفا"" يوافق على إقامة الدورة الرباعية للدوري #المصري بالتزامن مع كأس العالم",2
#محمد_صلاح يدعو الجماهير إلى دعمه في استفتاء #هيئة_الإذاعة_البريطانية #eXtranews https://t.co/wejclbqRNx,2
