review,label
اكبر خطا ترتكبه ان تعامل الناس باخلاقك انت مش باخلاقهم هما  .  ,negative
دائما اكره اخر ليله في كل مكان   .  ,negative
يارب اللى يسرق تويتاتى يدخل النار .  ,negative
الاسراف فى تناول القهوة يسبب الوفاه .  ,negative
انا اتبهدلت من التراب النهارده. حاجة تقرف  . ,positive
فى بنات بتلبـس اكســسوارات لدرجــة انك تحــس ان فى حنــطور ماشـــى جنبــك. ,negative
احتاج صديق حقيقى يواسينى ويخفف عنى .  ,positive
لازم اتعلم الثبات الانفعالى زيهم كدا .  ,positive
جروب الدفعه ليلة الامتحان دايما بتحس ان الناس اللى فيه بتذاكر منهج تاني . وبيكتبوا تعاويذ على الجروب.  ,negative
النقاش هو الذى يؤدي الى نتيجه اما التعصب فيولد تعصب اكثر منه  .  ,negative
وصلت الى مرحلة اني كرهت بلدى وانى فيها   .  ,negative
عندما قرأت قصه اول شهيدة بالاسلام ام عمار عرفت كم نحن ضعاف   .  ,positive
اجمل انسان هو المتسامح ، المتواضع .  ,positive
اسمها شبكه تواصل اجتماعيه . مش شبكه مراقبه اجتماعيه. ,negative
امي عندها صور لي تنهي مستقبلي. ,negative
دنيا ملهاش أمان صحيح   .  ,negative
الرئيس الحنين رزق .,positive
الحكم اللى اتقال النهارده عليهم قاسى جدا .  ,negative
عند الاستيقاظ تكتئب لمهامك الجديدة .  ,negative
مصر في المرتبه السابعه في ترتيب الدول الأكثر خطوره في العمل الصحفي انا ايه اللي دخلني اعلام. ,negative
سيناريو عبقري وخطة محكمة شفيق ينجح في نفس اليوم اللى مبارك يموت فيه . وشفيق يتجوز سوزان وجمال يورث الحكم.   ,negative
العرب يسعون لتفسير الاحلام  الغرب يسعون لتحقيق الاحلام هذا هو الفرق بين العرب والغرب. ,negative
حقيقة غاب صدام فظهر الشيعة   .  ,negative
بعد هذه الاغنية الرائعة لدعم مرسى وهذا الصوت المبهر . اؤكد لكم ان احمد شفيق رئيسا للجمهورية باكتساح. ,negative
قد تكون حياتي مليئة بالأصدقاء و لكن قليل ما يشعر بى احد     .  ,negative
القلق لا يعالج مريض ولا يوفق طالب . القلق يأكل من الراحه جزء و من العقل أجزاء . ,negative
حرام العمر اللى بيضيع ده .  ,negative
يا صباح العكننه والمود الوحش .  ,negative
دعائكم لشباب الثورة . فانهم اخواتنا.  ,positive
يؤلمني ما حدث    .  ,negative
سرطان جديد للأسف دائما نفعلها  انتبهوا   .  ,negative
دعواتك له وأهم شيء أنه طلع من المرحلة الحرجة دى . ,positive
المجد للناس اللي بتلف من شارع تاني لما تلاقي كلب على اول الشارع. ,negative
رخمه اوى الاجازة دى .  ,negative
‏​لا تكن مثل لمبة البنزين تضيء من اجل أن تأخذ.  بل كن مثل لمبة الثلاجة  تضيء من اجل أن تعطي .  ,positive
عيني بدات تحرقني مش عارفه ليه.,negative
الامكانيات مش بتساعد الواحد عنده افكار كتير والله . ,negative
اشياء عجزنا عن تعليمها للصغار . ,negative
يارب ارزق اهلي وصحابي وحبايبي الجنة .,positive
انا بشوف بنات بتسوق موتسيكلات عادي يعني ومش بيعملوا حوادث .,positive
اهو قررت اجرب حظي المرة دي يمكن يصيب .,positive
دي حاجه تفرحني وهفرح اكتر لو شيلت كلمة حضرتك دي متحسسنيش اني طنط .,positive
احلي حاجة ممكن تعملها وانت سهران هي القراية يبقي انت كدا مش خسران .,positive
والله فرحت اول لما الدكتور فكرنا اننا خلاص هنتخرج وان دي اخر سنة لينا .,positive
يعنى يوم ما انضف البيت .الدنيا تقلب تراب ده ايه الغلب ده . ,negative
الغسالة عندى اتحرقت . حد يعرف توكيل  ايديال فين . ,negative
نعم أخطأت و لكن ليس ذنبي  .فالحياة لم تأتي مرفقة بدليل استعمال . ,negative
اكثر شخص ظريف بالدنيا هو اللي لما توريه موبايلك الجديد . يعمل قال انه هيقع من ايده . ,negative
ده لينك لمصحف كامل لمشاري العفاسي صدقه . ,positive
ممكن رتويت يا جماعه. ,positive
الايه دى  استوقفتنى كثيرا. قال تعالى  وما توفيقي إلا بالله عليه توكلت وإليه أنيب . ,positive
حقيقة لا يؤذينا بعمق  إلا من أحببناه بصدق  . ,negative
‏‏‏شعب ظريف بطبعه . ,positive
اخرس شوية بقى . ,negative
شويه خجل  صوره مؤثره . ,negative
احتمال تمطر النهارده فى سحب كتير من الصبح .يارب تمطر . ,positive
ربنا يحفظكم جميعا . رحلة سعيدة . ,positive
ربنا يعينك يا حبيبى . ,positive
ليكن من أعظم أهدافك في الحياة أن ينادي الله جبريل عليه السلام فيقول له إني أحب فلان فأحبه  . ,positive
صباح الخير من القلب الى القلب . كل جمعة وانت الى الرحمن اقرب . كل جمعة وصحائف اعمالك بالحسنات اثقل  . ,positive
اعوذ بالله من الشيطان الرجيم  وبعدين فى الكوابيس بنت الكلب دى  . ,negative
اشوفكم فى صلاة العيد بقى . ,positive
الجنة  وطن الاشياء الحقيقية.  الجنة  أمنيتنا الخالدة والشوق الذي يكبر فينا كل يوم . ,positive
لو كنت  صرصار تحب حد يضربك بالوحشية دى . ,negative
تقربوا الى الله ولو بركعه واحده. ,positive
اوتروا وتذوقوا جنة الدنيا. ,positive
بحب اوى ازعق لاولاد اختى علشان يخافوا منى ويشموا بعيد عنى . ,negative
قال احد الحكماء كن  مستمعا جيدا واياك والاستنتاج المبكر للاحداث . ,positive
لتكون مهما تكن مهتما . ,positive
منظر يفتح النفس على الصبح والله . ,positive
لم تعد انت ذات المهم . فقط شتات ذكريات . ,negative
يلا كلنا نفتح المصحف دلوقتى ونقرا سورة الكهف . ,positive
ده تفكير جاهلى بمعنى الكلمة واكثر . ,negative
الرجل الذي ضحكت عليه من أجل ندبه في وجهه أو جسده .  فلقد حارب من أجل بلده وتعرض لهذه الندبه أو تعرض لحادث اليم . عيب عليك كلامك ده . ,negative
صباح الأنفلونزا والتعب . ,negative
لازم يا جماعه نحترم شوية حكومتنا واصحاب المناصب والقرارات . ,positive
سوريا ارض الثقافة والجمال والادب . ,positive
إخوتي لا تنسوا سنن الجمعة : الغسل والطيب والسواك ولبس الجميل والتبكير لصلاة الجمعة وقراءة سورة الكهف وكثرة الصلاة علي رسولنا الكريم . ,positive
الفتاة التي قلت عنها قبيحه هي الان تنفق ساعات لوضع المكياج لكي يروها جميلة                ,positive
البنات بتاخد كل يوم وقت طويل فى وضع المكياج علشان تنزل من بيتها . ده ايه المرار ده. احنا الشباب نغسل وشنا وننزل على طول . ,negative
لا فى ميزة التوصيل هنا مجانى . ,positive
بزهق كل شوية حد يعملى منشن . ,negative
حكمة محشش بس قويه الحب مثل البصل قشرة تحت قشرة ولا شيء في النهاية غير الدموع  . ,negative
يا ابن الايه اقنعتني . ,positive
يلا كله يجهز نفسه للماتش هيبدأ كمان ساعه . ,positive
المرض لا يؤلم المرضى فقط بل يؤلم من أحبوھم أيضا . ,negative
يا جماعه خاطبوا الناس على قدر عقولهم . علشان ترتاحوا بلاش كلام مع ناس مش بتفهم الا كلامها ورايها . ,negative
خطى وحش لدرجة ان انا مش بعرف افهم انا كاتب اايه . ,negative
الإنسان هكذا يظلم نفسه ويشتكى من الظروف . ,negative
اتعلم ما هى الثقة الكبرى فى  قوله تعآلى ولسوف يعطيك ربك فترضى .  هو لن يعطيك فقط هو ايضا وعدك بالرضا . ,positive
الحمد لك يا الله . فبالشكر  تدوم النعم. ,positive
ربنا يسمع منك يارب. ,positive
انا عكسك  أما بحس بغربة فى الميدان من المناظر اللي فيه بجري .  أدخل محمد محمود  شعور بريحة الحرية والقوة رغم المهازل اللي حصلت فيه . حقيقى الحرية  قيمة كبيرة اوى . ,positive
خلصنا من الناموس . ابتلانا بالذباب . الله يعين  . ,negative
الحاجات السريعه دى بتجيب السرطان . ,negative
اعمل ايه في نفسي . ببقي مطحونة برة البيت وارجع البيت بطحن اكتر وبرده مش بعرف انام من كتر التفكير . ,negative
تشبهيين أيام  أوقات الخريف و تمطرين أحيان . إحساسك زهور . ,positive
اشتاق لروح بعيده كل البعد عن طريق العودة . روح رحلت ولن يعيدها الزمان يوما. ,negative
كلها يومين  ويجى العيد . ,positive
ابى اتحجز النهارده فى المتشفى . ,negative
ده برنامج قليل الادب كله شتايم وايحاءات جنسية كتيرة . ,negative
